Time,Thrust
0,0
0.011,90.913
0.029,180.689
0.04,207.962
0.055,235.236
0.086,260.237
0.11,250.578
0.147,246.6
0.19,252.85
0.226,242.623
0.266,235.236
0.304,238.645
0.348,226.713
0.4,215.349
0.419,220.463
0.432,207.962
0.531,177.279
0.601,151.71
1.184,69.321
1.216,69.321
1.351,46.593
1.402,40.342
1.633,0
